,name,description
0,neerja,"neerja is the story of the courageous neerja bhanot, who sacrificed her life while protecting the lives of 359 passengers on the pan am flight 73 in 1986. the flight was hijacked by a terrorist organization."
1,udta punjab,a story that revolves around drug abuse in the affluent north indian state of punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.
2,kabhi khushi kabhie gham...,"yashvardhan raichand lives a very wealthy lifestyle along with his wife, nandini, and two sons, rahul and rohan. while rahul has been adopted, yashvardhan and nandini treat him as their own..."
3,kal ho naa ho,"naina, an introverted, perpetually depressed girl's life changes when she meets aman. but aman has a secret of his own which changes their lives forever. embroiled in all this is rohit, naina's best friend who conceals his love for her."
4,parched,"'parched' is a story about women set in the heart of parched rural landscape of rajasthan, india. it traces the bittersweet tale of four ordinary women rani, lajjo, bijli and janaki. we see..."
5,anand,"the classic story of a terminally ill man who wishes to live life to the full before the inevitable occurs, as told by his best friend."
6,pk,"a stranger in the city asks questions no one has asked before. known only by his initials, p.k.'s innocent questions and childlike curiosity will take him on a journey of love, laughter and letting go."
7,lagaan: once upon a time in india,the people of a small village in victorian india stake their future on a game of cricket against their ruthless british rulers.
8,my name is khan,"an indian muslim man with asperger's syndrome takes a challenge to speak to the president seriously, and embarks on a cross-country journey."
9,"lust, caution","during world war ii era, a young woman, wang jiazhi, gets swept up in a dangerous game of emotional intrigue with a powerful political figure, mr. yee."
10,msg the warrior: lion heart,the story is about medieval warrior who fights for the honor of his land and the dignity of the womenfolk. the story travels centuries apart as he emerges in another role as a modern indian...
11,fan,"gaurav, a huge fan of movie star aryan khanna, heads to mumbai in order to wish his god a happy birthday. when things don't go according to plan, gaurav's obsession with aryan crosses the line."
12,airlift,"when iraq invades kuwait in august, 1990, a callous indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
13,close encounters of the third kind,"after an encounter with u.f.o.s, a line worker feels undeniably drawn to an isolated area in the wilderness where something spectacular is about to happen."
14,3 idiots,"two friends are searching for their long lost companion. they revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
15,m.s. dhoni: the untold story,the untold story of
16,slumdog millionaire,"a mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the indian version of ""who wants to be a millionaire?"""
17,life of pi,"a young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. while cast away, he forms an unexpected connection with another survivor: a fearsome bengal tiger."
18,lion,"a five-year-old indian boy gets lost on the streets of calcutta, thousands of kilometers from home. he survives many challenges before being adopted by a couple in australia; 25 years later, he sets out to find his lost family."
19,pink,when three young women are implicated in a crime; a retired lawyer steps forward to help them clear their names.
20,madaari,"a man named nirmal loses his family in a man-made disaster, he starts the journey of seeking answers asking for accountability which urges him to take revenge."
21,swades,a successful indian scientist returns to an indian village to take his nanny to america with him and in the process rediscovers his roots.
22,dil chahta hai,"three inseparable childhood friends are just out of college. nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension."
23,a wednesday,a retiring police officer reminisces about the most astounding day of his career. about a case that was never filed but continues to haunt him in his memories - the case of a man and a wednesday.
24,talvar,an experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.
25,after the wedding,"a manager of an orphanage in india is sent to copenhagen, denmark, where he discovers a life-altering family secret."
26,rockstar,"janardhan jakhar chases his dreams of becoming a big rock star, during which he falls in love with heer."
27,barfi!,three young people learn that love can neither be defined nor contained by society's definition of normal and abnormal.
28,zindagi na milegi dobara,three friends decide to turn their fantasy vacation into reality after one of their number becomes engaged.
29,the namesake,"american-born gogol, the son of indian immigrants, wants to fit in among his fellow new yorkers, despite his family's unwillingness to let go of their traditional ways."
30,taare zameen par,"an eight-year-old boy is thought to be lazy and a trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school."
31,anbe sivam,nalla sivam and anbarasu meet under different circumstances and their lives are changed as they take the journey of their life.
32,andaz apna apna,"two slackers competing for the affections of an heiress, inadvertently become her protectors from an evil criminal."
33,rang de basanti,"the story of six young indians who assist an english woman to film a documentary on the extremist freedom fighters from their past, and the events that lead them to relive the long forgotten saga of freedom."
34,drishyam,"desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime."
35,masaan,"four lives intersect along the ganges: a low caste boy hopelessly in love, a daughter ridden with guilt of a sexual encounter ending in a tragedy, a hapless father with fading morality, and..."
36,the lunchbox,a mistaken delivery in mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.
37,chungking express,"two melancholy hong kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents."
38,devdas,"after his wealthy family prohibits him from marrying the woman he is in love with, devdas mukherjee's life spirals further and further out of control as he takes up alcohol and a life of vice to numb the pain."
39,kapoor & sons,"a story revolving around a dysfunctional family of 2 brothers who visit their family and discover that their parents marriage is on the verge of collapse,the family is undergoing a financial crunch and much more as the drama unfolds."
40,gangs of wasseypur,"a clash between sultan and shahid khan leads to the expulsion of khan from wasseypur, and ignites a deadly blood feud spanning three generations."
41,rainbow,"believing actor and goodwill ambassador shah rukh khan can help her brother get an operation to restore his sight, a 10-year old girl takes her blind 8-year old brother on a trek across rajasthan in search of the superstar."
42,tanu weds manu returns,tanu and manu's marriage collapses. what happens when manu meets tanu's lookalike kusum - and when tanu returns?
43,jodhaa akbar,"a sixteenth century love story about a marriage of alliance that gave birth to true love between a great mughal emperor, akbar, and a rajput princess, jodha."
44,ugly,the case of a missing girl takes us through a journey of human greed and brushes upon the egos and repressed emotions of the characters.
45,veer-zaara,"the story of the love between veer pratap singh, an indian, and zaara hayaat khan, a pakistani...a love so great it knows no boundaries..."
